Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOM,Bachelor's,Less than 1,Less than 40,Good,0,3,1,5,No,Yes,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Finance and banking,NGO,No,No,Alone,2 - 5,No,No,Less than 10,Light,Non-drinker,5,3,5
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,2,40 - 70 ,Very Good,0,9,0,0,Yes,No,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Higher,Higher,Finance and banking,Unemployed,No,No,Alone,2 - 5,No,No,Less than 10,Light,Non-drinker,3,3,2
18 - 20,Female,Malaysian,Alone,Urban,No,FOB,Bachelor's,Less than 1,Less than 40,Very Good,0,4,3,0,Yes,Yes,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Technology,Unemployed,Yes,Yes,Alone,2 - 5,No,No,Less than 10,Non-gamer,Non-drinker,2,2,2
18 - 20,Female,Malaysian,Friend or Roommate,Urban,Yes,FOM,Bachelor's,1,40 - 70 ,Good,0,3,6,1,No,Yes,University reputation,Medium,Small,None,Moderate,Moderate,No,MT3,Higher,Higher,Finance and banking,Finance and banking,No,No,Alone,5 - 8,Yes,Yes,Less than 10,Non-gamer,Non-drinker,3,3,3
21 - 23,Female,Non-Malaysian,Friend or Roommate,Urban,No,FIST,Bachelor's,3,71 - 100,Good,1 - 2,0,0,0,No,No,University reputation,Large,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Healthcare,Unemployed,No,Yes,Group,Less than 2,No,No,Less than 10,Non-gamer,Non-drinker,2,2,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,Yes,FCI,Bachelor's,Less than 1,Less than 40,Very Good,0,6,3,0,No,Yes,Legacy student,Large,Large,Less,Good,Good,No,MT3,Higher,Higher,Civil servant,Finance and banking,No,Yes,Group,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,3,5,4
24 - 26,Female,Malaysian,Friend or Roommate,Rural,No,FCI,Bachelor's,3,More than 100,Very Good,0,2,5,1,No,Yes,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,No,No,Less than 10,Light,Non-drinker,4,4,4
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FCI,Bachelor's,4,71 - 100,Very Good,0,More than 12,0,0,Yes,Yes,because it very sucks,Large,Medium,None,Poor,Poor,No,LE3,Secondary,Secondary,chef,Finance and banking,Yes,No,Group,More than 8,Yes,Yes,Less than 10,Moderate,Sometimes,4,4,4
21 - 23,Male,Malaysian,Friend or Roommate,Urban,Yes,FCI,Bachelor's,2,40 - 70 ,Very Good,0,6,3,1,No,Yes,Course preference,Medium,Medium,Sometimes,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,No,Group,Less than 2,Yes,Yes,Less than 10,Moderate,Non-drinker,5,3,4
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCI,Diploma,Less than 1,Less than 40,Very Good,0,4,6,1,No,No,Course preference,Small,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Unemployed,No,Yes,Alone,5 - 8,Yes,No,10 - 30,Light,Non-drinker,2,1,2
